,id,VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
68,64b8150c3f35c83376286f65,5UXKT0C52H,Kitsap,Kingston,WA,98346,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,23,127372570,POINT (-122.50155999999998 47.801900000000046),PUGET SOUND ENERGY INC,53035090102
69,64b8150c3f35c83376286f66,5YJ3E1EB9K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,224254236,POINT (-122.92145 47.04593500000004),PUGET SOUND ENERGY INC,53067010600
70,64b8150c3f35c83376286f67,5YJSA1H1XE,Chelan,Leavenworth,WA,98826,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,12,8444677,POINT (-120.66191529999998 47.59700830000003),PUD NO 1 OF CHELAN COUNTY,53007960203
71,64b8150c3f35c83376286f68,1G1FZ6S04K,Island,Langley,WA,98260,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,151504111,POINT (-122.40801499999998 48.035570000000064),PUGET SOUND ENERGY INC,53029972000
72,64b8150c3f35c83376286f69,1FADP3R43G,Snohomish,Stanwood,WA,98292,2016,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,10,348274244,POINT (-122.36840509999996 48.24149210000007),PUGET SOUND ENERGY INC,53061053202
73,64b8150c3f35c83376286f6a,5YJ3E1EA6L,King,Kent,WA,98030,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,47,161335485,POINT (-122.19975499999998 47.37483000000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029504
74,64b8150c3f35c83376286f6b,1N4AZ0CP4F,Kitsap,Bremerton,WA,98310,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,244078768,POINT (-122.61136499999998 47.575195000000065),PUGET SOUND ENERGY INC,53035080101
75,64b8150c3f35c83376286f6c,1C4JJXP61M,Thurston,Tenino,WA,98589,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,35,182674320,POINT (-122.85342099999997 46.855331800000044),PUGET SOUND ENERGY INC,53067012610
76,64b8150c3f35c83376286f6d,3FA6P0SU6F,Snohomish,Mill Creek,WA,98012,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,44,349890761,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061041609
77,64b8150c3f35c83376286f6e,KNDJP3AE8G,Snohomish,Lynnwood,WA,98036,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,32,303448575,POINT (-122.31667499999998 47.81936500000006),PUGET SOUND ENERGY INC,53061051702
